id,sci_name,title,url,type,thumbnailSrc,thumbnailSrcset,Location
4515,geranium maculatum,Wild Geranium,https://www.centralparknyc.org/plants/wild-geranium,"May-June, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/wild-geranium_l_2020-11-11-202721.jpg?mtime=20201111152722&focal=none&tmtime=20210419135146,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/wild-geranium_l_2020-11-11-202721.jpg?mtime=20201111152722&focal=none&tmtime=20210419135146, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/wild-geranium_l_2020-11-11-202721.jpg?mtime=20201111152722&focal=none&tmtime=20210419135146 2x",The Ramble
4520,monarda fistulosa,Wild Bergamot,https://www.centralparknyc.org/plants/wild-bergamot,"May-August, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/wild-bergamot_l_2020-11-11-202722.jpg?mtime=20201111152723&focal=none&tmtime=20210419135145,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/wild-bergamot_l_2020-11-11-202722.jpg?mtime=20201111152723&focal=none&tmtime=20210419135145, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/wild-bergamot_l_2020-11-11-202722.jpg?mtime=20201111152723&focal=none&tmtime=20210419135145 2x",Hallett Nature Sanctuary
4520,monarda fistulosa,Wild Bergamot,https://www.centralparknyc.org/plants/wild-bergamot,"May-August, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/wild-bergamot_l_2020-11-11-202722.jpg?mtime=20201111152723&focal=none&tmtime=20210419135145,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/wild-bergamot_l_2020-11-11-202722.jpg?mtime=20201111152723&focal=none&tmtime=20210419135145, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/wild-bergamot_l_2020-11-11-202722.jpg?mtime=20201111152723&focal=none&tmtime=20210419135145 2x",North Woods
4525,eurybia divaricata,White Wood Aster,https://www.centralparknyc.org/plants/white-wood-aster,"August-September, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/white-wood-aster_l_2020-11-11-202724.jpg?mtime=20201111152724&focal=none&tmtime=20210419190949,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/white-wood-aster_l_2020-11-11-202724.jpg?mtime=20201111152724&focal=none&tmtime=20210419190949, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/white-wood-aster_l_2020-11-11-202724.jpg?mtime=20201111152724&focal=none&tmtime=20210419190949 2x",The Ramble
4525,eurybia divaricata,White Wood Aster,https://www.centralparknyc.org/plants/white-wood-aster,"August-September, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/white-wood-aster_l_2020-11-11-202724.jpg?mtime=20201111152724&focal=none&tmtime=20210419190949,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/white-wood-aster_l_2020-11-11-202724.jpg?mtime=20201111152724&focal=none&tmtime=20210419190949, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/white-wood-aster_l_2020-11-11-202724.jpg?mtime=20201111152724&focal=none&tmtime=20210419190949 2x",North Woods
4525,eurybia divaricata,White Wood Aster,https://www.centralparknyc.org/plants/white-wood-aster,"August-September, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/white-wood-aster_l_2020-11-11-202724.jpg?mtime=20201111152724&focal=none&tmtime=20210419190949,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/white-wood-aster_l_2020-11-11-202724.jpg?mtime=20201111152724&focal=none&tmtime=20210419190949, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/white-wood-aster_l_2020-11-11-202724.jpg?mtime=20201111152724&focal=none&tmtime=20210419190949 2x",Reservoir
4532,ageratina altissima,White Snakeroot,https://www.centralparknyc.org/plants/white-snakeroot,"August-September, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/white-snakeroot-l_2020-11-11-202725.jpg?mtime=20201111152725&focal=none&tmtime=20210419190948,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/white-snakeroot-l_2020-11-11-202725.jpg?mtime=20201111152725&focal=none&tmtime=20210419190948, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/white-snakeroot-l_2020-11-11-202725.jpg?mtime=20201111152725&focal=none&tmtime=20210419190948 2x",The Ramble
4532,ageratina altissima,White Snakeroot,https://www.centralparknyc.org/plants/white-snakeroot,"August-September, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/white-snakeroot-l_2020-11-11-202725.jpg?mtime=20201111152725&focal=none&tmtime=20210419190948,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/white-snakeroot-l_2020-11-11-202725.jpg?mtime=20201111152725&focal=none&tmtime=20210419190948, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/white-snakeroot-l_2020-11-11-202725.jpg?mtime=20201111152725&focal=none&tmtime=20210419190948 2x",North Woods
4537,rosa virginiana,Virginia Rose,https://www.centralparknyc.org/plants/virginia-rose,"June-July, Shrub",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/virginia-rose-l_2020-11-11-202726.jpg?mtime=20201111152726&focal=none&tmtime=20210419133751,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/virginia-rose-l_2020-11-11-202726.jpg?mtime=20201111152726&focal=none&tmtime=20210419133751, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/virginia-rose-l_2020-11-11-202726.jpg?mtime=20201111152726&focal=none&tmtime=20210419133752 2x",The Ramble
4537,rosa virginiana,Virginia Rose,https://www.centralparknyc.org/plants/virginia-rose,"June-July, Shrub",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/virginia-rose-l_2020-11-11-202726.jpg?mtime=20201111152726&focal=none&tmtime=20210419133751,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/virginia-rose-l_2020-11-11-202726.jpg?mtime=20201111152726&focal=none&tmtime=20210419133751, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/virginia-rose-l_2020-11-11-202726.jpg?mtime=20201111152726&focal=none&tmtime=20210419133752 2x",Reservoir
4544,jeffersonia diphylla,Twinleaf,https://www.centralparknyc.org/plants/twinleaf,"April, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/twinleaf_l_2020-11-11-202727.jpg?mtime=20201111152727&focal=none&tmtime=20210419105436,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/twinleaf_l_2020-11-11-202727.jpg?mtime=20201111152727&focal=none&tmtime=20210419105436, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/twinleaf_l_2020-11-11-202727.jpg?mtime=20201111152727&focal=none&tmtime=20210419105437 2x",Hallett Nature Sanctuary
4544,jeffersonia diphylla,Twinleaf,https://www.centralparknyc.org/plants/twinleaf,"April, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/twinleaf_l_2020-11-11-202727.jpg?mtime=20201111152727&focal=none&tmtime=20210419105436,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/twinleaf_l_2020-11-11-202727.jpg?mtime=20201111152727&focal=none&tmtime=20210419105436, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/twinleaf_l_2020-11-11-202727.jpg?mtime=20201111152727&focal=none&tmtime=20210419105437 2x",The Ramble
4549,tulipa,Tulip,https://www.centralparknyc.org/plants/tulip,"April, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/tulip-blooms-l_2020-11-11-202728.jpg?mtime=20201111152728&focal=none&tmtime=20210419104944,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/tulip-blooms-l_2020-11-11-202728.jpg?mtime=20201111152728&focal=none&tmtime=20210419104944, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/tulip-blooms-l_2020-11-11-202728.jpg?mtime=20201111152728&focal=none&tmtime=20210419104945 2x",Olmsted Flower Bed
4549,tulipa,Tulip,https://www.centralparknyc.org/plants/tulip,"April, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/tulip-blooms-l_2020-11-11-202728.jpg?mtime=20201111152728&focal=none&tmtime=20210419104944,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/tulip-blooms-l_2020-11-11-202728.jpg?mtime=20201111152728&focal=none&tmtime=20210419104944, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/tulip-blooms-l_2020-11-11-202728.jpg?mtime=20201111152728&focal=none&tmtime=20210419104945 2x",Conservatory Garden
4549,tulipa,Tulip,https://www.centralparknyc.org/plants/tulip,"April, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/tulip-blooms-l_2020-11-11-202728.jpg?mtime=20201111152728&focal=none&tmtime=20210419104944,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/tulip-blooms-l_2020-11-11-202728.jpg?mtime=20201111152728&focal=none&tmtime=20210419104944, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/tulip-blooms-l_2020-11-11-202728.jpg?mtime=20201111152728&focal=none&tmtime=20210419104945 2x",Shakespeare Garden
4549,tulipa,Tulip,https://www.centralparknyc.org/plants/tulip,"April, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/tulip-blooms-l_2020-11-11-202728.jpg?mtime=20201111152728&focal=none&tmtime=20210419104944,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/tulip-blooms-l_2020-11-11-202728.jpg?mtime=20201111152728&focal=none&tmtime=20210419104944, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/tulip-blooms-l_2020-11-11-202728.jpg?mtime=20201111152728&focal=none&tmtime=20210419104945 2x",Reservoir
4556,lilium superbum,Turk's Cap Lily,https://www.centralparknyc.org/plants/turks-cap-lily,"June-July, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/turks-cap-lily_l_2020-11-11-202730.jpg?mtime=20201111152731&focal=none&tmtime=20210419162500,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/turks-cap-lily_l_2020-11-11-202730.jpg?mtime=20201111152731&focal=none&tmtime=20210419162500, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/turks-cap-lily_l_2020-11-11-202730.jpg?mtime=20201111152731&focal=none&tmtime=20210419162500 2x",North Woods
4562,lonicera sempervirens,Trumpet Honeysuckle,https://www.centralparknyc.org/plants/trumpet-honeysuckle,"June-September, Vine",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/trumpet-honeysuckle_l_2020-11-11-202731.jpg?mtime=20201111152732&focal=none&tmtime=20210419133750,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/trumpet-honeysuckle_l_2020-11-11-202731.jpg?mtime=20201111152732&focal=none&tmtime=20210419133750, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/trumpet-honeysuckle_l_2020-11-11-202731.jpg?mtime=20201111152732&focal=none&tmtime=20210419133751 2x",The Ramble
4562,lonicera sempervirens,Trumpet Honeysuckle,https://www.centralparknyc.org/plants/trumpet-honeysuckle,"June-September, Vine",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/trumpet-honeysuckle_l_2020-11-11-202731.jpg?mtime=20201111152732&focal=none&tmtime=20210419133750,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/trumpet-honeysuckle_l_2020-11-11-202731.jpg?mtime=20201111152732&focal=none&tmtime=20210419133750, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/trumpet-honeysuckle_l_2020-11-11-202731.jpg?mtime=20201111152732&focal=none&tmtime=20210419133751 2x",Reservoir
4569,campsis radicans,Trumpet Creeper,https://www.centralparknyc.org/plants/trumpet-creeper,"June-August, Vine",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/trumpet-creeper_l_2020-11-11-202732.jpg?mtime=20201111152733&focal=none&tmtime=20210419143904,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/trumpet-creeper_l_2020-11-11-202732.jpg?mtime=20201111152733&focal=none&tmtime=20210419143904, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/trumpet-creeper_l_2020-11-11-202732.jpg?mtime=20201111152733&focal=none&tmtime=20210419143905 2x",North Woods
4574,erythronium americanum,Trout Lily,https://www.centralparknyc.org/plants/trout-lily,"April, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/trout-lily_l_2020-11-11-202734.jpg?mtime=20201111152734&focal=none&tmtime=20210419105436,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/trout-lily_l_2020-11-11-202734.jpg?mtime=20201111152734&focal=none&tmtime=20210419105436, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/trout-lily_l_2020-11-11-202734.jpg?mtime=20201111152734&focal=none&tmtime=20210419105436 2x",North Woods
4579,trillium grandiflorum,Trillium,https://www.centralparknyc.org/plants/trillium,"April, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/blooms-trillium-l_2020-11-11-202735.jpg?mtime=20201111152735&focal=none&tmtime=20210419105435,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/blooms-trillium-l_2020-11-11-202735.jpg?mtime=20201111152735&focal=none&tmtime=20210419105435, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/blooms-trillium-l_2020-11-11-202735.jpg?mtime=20201111152735&focal=none&tmtime=20210419105435 2x",Hallett Nature Sanctuary
4579,trillium grandiflorum,Trillium,https://www.centralparknyc.org/plants/trillium,"April, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/blooms-trillium-l_2020-11-11-202735.jpg?mtime=20201111152735&focal=none&tmtime=20210419105435,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/blooms-trillium-l_2020-11-11-202735.jpg?mtime=20201111152735&focal=none&tmtime=20210419105435, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/blooms-trillium-l_2020-11-11-202735.jpg?mtime=20201111152735&focal=none&tmtime=20210419105435 2x",The Ramble
4584,coreopsis verticillata 'moonbeam',Tickseed,https://www.centralparknyc.org/plants/tickseed,"June-July, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/tickseed_l_2020-11-11-202736.jpg?mtime=20201111152736&focal=none&tmtime=20210419133749,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/tickseed_l_2020-11-11-202736.jpg?mtime=20201111152736&focal=none&tmtime=20210419133749, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/tickseed_l_2020-11-11-202736.jpg?mtime=20201111152736&focal=none&tmtime=20210419133749 2x",Reservoir
4591,spiraea thunbergii,Thunberg Spiraea,https://www.centralparknyc.org/plants/thunberg-spiraea,"March, Shrub",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/blooms-spiraea-l_2020-11-11-202737.jpg?mtime=20201111152737&focal=none&tmtime=20210419105235,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/blooms-spiraea-l_2020-11-11-202737.jpg?mtime=20201111152737&focal=none&tmtime=20210419105235, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/blooms-spiraea-l_2020-11-11-202737.jpg?mtime=20201111152737&focal=none&tmtime=20210419105235 2x",Conservatory Garden
